agent,threshold,window,epoch,converged,epochs_to_converge
agent_0,0.001,5,10,False,10
agent_0,0.001,5,11,False,11
agent_0,0.001,10,10,False,10
agent_0,0.001,10,11,False,11
agent_0,0.001,15,10,False,0
agent_0,0.001,15,11,False,0
agent_0,0.001,20,10,False,0
agent_0,0.001,20,11,False,0
agent_0,0.005,5,10,False,10
agent_0,0.005,5,11,False,11
agent_0,0.005,10,10,False,10
agent_0,0.005,10,11,False,11
agent_0,0.005,15,10,False,0
agent_0,0.005,15,11,False,0
agent_0,0.005,20,10,False,0
agent_0,0.005,20,11,False,0
agent_0,0.01,5,10,False,10
agent_0,0.01,5,11,False,11
agent_0,0.01,10,10,False,10
agent_0,0.01,10,11,False,11
agent_0,0.01,15,10,False,0
agent_0,0.01,15,11,False,0
agent_0,0.01,20,10,False,0
agent_0,0.01,20,11,False,0
agent_0,0.02,5,10,False,10
agent_0,0.02,5,11,False,11
agent_0,0.02,10,10,False,10
agent_0,0.02,10,11,False,11
agent_0,0.02,15,10,False,0
agent_0,0.02,15,11,False,0
agent_0,0.02,20,10,False,0
agent_0,0.02,20,11,False,0
agent_1,0.001,5,10,False,10
agent_1,0.001,5,11,False,11
agent_1,0.001,10,10,False,10
agent_1,0.001,10,11,False,11
agent_1,0.001,15,10,False,0
agent_1,0.001,15,11,False,0
agent_1,0.001,20,10,False,0
agent_1,0.001,20,11,False,0
agent_1,0.005,5,10,False,10
agent_1,0.005,5,11,False,11
agent_1,0.005,10,10,False,10
agent_1,0.005,10,11,False,11
agent_1,0.005,15,10,False,0
agent_1,0.005,15,11,False,0
agent_1,0.005,20,10,False,0
agent_1,0.005,20,11,False,0
agent_1,0.01,5,10,False,10
agent_1,0.01,5,11,False,11
agent_1,0.01,10,10,False,10
agent_1,0.01,10,11,False,11
agent_1,0.01,15,10,False,0
agent_1,0.01,15,11,False,0
agent_1,0.01,20,10,False,0
agent_1,0.01,20,11,False,0
agent_1,0.02,5,10,False,10
agent_1,0.02,5,11,False,11
agent_1,0.02,10,10,False,10
agent_1,0.02,10,11,False,11
agent_1,0.02,15,10,False,0
agent_1,0.02,15,11,False,0
agent_1,0.02,20,10,False,0
agent_1,0.02,20,11,False,0
agent_2,0.001,5,10,False,10
agent_2,0.001,5,11,False,11
agent_2,0.001,10,10,False,10
agent_2,0.001,10,11,False,11
agent_2,0.001,15,10,False,0
agent_2,0.001,15,11,False,0
agent_2,0.001,20,10,False,0
agent_2,0.001,20,11,False,0
agent_2,0.005,5,10,False,10
agent_2,0.005,5,11,False,11
agent_2,0.005,10,10,False,10
agent_2,0.005,10,11,False,11
agent_2,0.005,15,10,False,0
agent_2,0.005,15,11,False,0
agent_2,0.005,20,10,False,0
agent_2,0.005,20,11,False,0
agent_2,0.01,5,10,False,10
agent_2,0.01,5,11,False,11
agent_2,0.01,10,10,False,10
agent_2,0.01,10,11,False,11
agent_2,0.01,15,10,False,0
agent_2,0.01,15,11,False,0
agent_2,0.01,20,10,False,0
agent_2,0.01,20,11,False,0
agent_2,0.02,5,10,False,10
agent_2,0.02,5,11,False,11
agent_2,0.02,10,10,False,10
agent_2,0.02,10,11,False,11
agent_2,0.02,15,10,False,0
agent_2,0.02,15,11,False,0
agent_2,0.02,20,10,False,0
agent_2,0.02,20,11,False,0
